U0(mV)	U90(mV)	I(mA)	errorU0(%)	errorU90(%)	TxV(V)	
06.02.2019	18:00:00 ! data and time
7.52 ! temperature c
13.69 ! External battery voltage V
385.58123	2.11686	0.1	0	0	7	
452.24362	2.48553	0.1	0	0	7	
489.81423	2.66738	0.1	0	0	7	
408.65637	2.22182	0.1	0	1	7	
400.03482	2.31629	0.1	0	0	7	
426.62384	2.38618	0.1	0	0	8	
450.78326	2.41352	0.1	0	0	8	
461.45846	2.51122	0.1	0	0	8	
452.98001	2.62941	0.1	0	0	8	
451.12069	2.59153	0.1	0	0	9	
265.99334	2.07323	0.1	0	0	7	
265.47409	1.98276	0.1	0	0	7	
256.46524	1.77296	0.1	0	0	7	
277.43145	1.84648	0.1	0	0	7	
300.56979	1.91885	0.1	0	0	7	
312.39263	2.01556	0.1	0	0	7	
277.95169	1.77297	0.1	0	0	8	
275.02484	1.78204	0.1	0	0	8	
284.00201	1.77189	0.1	0	0	8	
307.09594	1.9113	0.1	0	0	8	
313.0451	1.99316	0.1	0	0	9	
170.16397	1.52448	0.1	0	0	7	
188.18489	1.55582	0.1	0	0	7	
191.62374	1.48475	0.1	0	0	7	
190.12341	1.4339	0.1	0	0	8	
203.46726	1.50218	0.1	0	0	8	
189.37222	1.38718	0.1	0	0	8	
192.48158	1.42647	0.1	0	0	8	
192.75459	1.4236	0.1	0	0	9	
125.80328	1.2323	0.1	0	0	7	
128.44755	1.15794	0.1	0	0	8	
131.15074	1.13549	0.1	0	0	8	
133.47418	1.12624	0.1	0	0	8	
127.11875	1.04645	0.1	0	0	9	
87.15433	0.92271	0.1	0	0	8	
89.03609	0.90406	0.1	0	0	8	
09.02.2019	12:00:00					
2.84						
13.71						
607.11871	3.04431	0.1	0	1	6	
628.25555	3.17636	0.1	0	1	7	
697.98565	3.52251	0.1	0	0	7	
675.63903	3.5071	0.1	0	0	7	
692.47357	3.45171	0.1	0	1	7	
